# Labels never visited during boot-to-Finder
# 4472 of 7237 labels


# src/boot/memtest.s
  0x00D8A  L116
  0x04C2A  L849
  0x04C34  L850
  0x04C3A  L852
  0x04C4A  L853
  0x04C62  L854
  0x04C68  L855
  0x04C80  L856
  0x04CBA  L860
  0x04CE0  L864
  0x04CF0  L865
  0x04D12  L866
  0x04D66  L867
  0x04D6E  L868
  0x04D7C  L869
  0x04D82  L870
  0x04D8C  L871
  0x04D92  L872
  0x04E5E  L888
  0x04EAC  L893
  0x04EF2  L895
  0x04F10  GetFPos
  0x04F14  SetFPos
  0x04F9E  L908
  0x04FAC  L911
  0x04FBE  L912
  0x04FDA  L913
  0x05060  L917
  0x05062  L918
  0x050EE  L930
  0x050F2  L931
  0x0512A  P135
  0x05130  P136
  0x05136  L932
  0x05144  FlushFile
  0x0518A  L938
  0x0518E  L939
  0x05192  L940
  0x051E4  L941
  0x051EC  L942
  0x0521C  L943
  0x052A4  L944
  0x053B2  GetFCBInfo_hfs
  0x053F8  L960
  0x05402  L961
  0x05406  P142
  0x0542A  L962
  0x0542E  L963
  0x05446  L964
  0x05450  L965
  0x05454  L966
  0x0545E  L967
  0x05462  L968
  0x05466  hfsUn_LockRange
  0x05472  L969
  0x05476  P143
  0x05488  L970
  0x0548E  Allocate
  0x054AA  L971
  0x054BC  L972
  0x05512  L978
  0x05528  L979
  0x055B0  L986
  0x055BE  P145
  0x055CE  L987
  0x055D4  L988
  0x05664  L995
  0x0569A  L996
  0x0569C  L997
  0x056B0  L998
  0x056B6  L999
  0x056BC  L1000
  0x056D8  L1001
  0x056DA  L1002
  0x056E2  L1003
  0x056F6  L1004
  0x05700  L1005
  0x05718  L1006
  0x0571C  P148
  0x0572C  L1007
  0x05742  L1008
  0x05752  L1009
  0x05758  L1010
  0x05768  L1011
  0x0576C  L1012
  0x05772  L1013
  0x05776  L1014
  0x0577E  P149
  0x057B6  P150
  0x057BA  L1015
  0x057D4  L1016
  0x057D6  P_mBlkAlloc
  0x057DC  BlkAlloc
  0x057FA  L1017
  0x05804  L1018
  0x05812  L1019
  0x0582A  L1020
  0x0583A  L1021
  0x0585C  L1022
  0x05876  L1023
  0x0588A  L1024
  0x0589E  L1025
  0x058A8  L1026
  0x058BA  L1027
  0x058D0  L1028
  0x05900  L1029
  0x05910  L1030
  0x05914  L1031
  0x05922  L1032
  0x0592C  L1033
  0x05932  P_mBlkDealloc
  0x05938  BlkDealloc
  0x05948  L1034
  0x05966  L1035
  0x0596E  L1036
  0x05978  BlkChk
  0x05984  L1037
  0x05994  L1038
  0x059A0  L1039
  0x059B0  L1040
  0x059BA  L1041
  0x059C6  L1042
  0x059C8  L1043
  0x059D2  UpdateFree
  0x059E4  L1044
  0x059EE  L1045
  0x059F8  L1046
  0x059FC  L1047
  0x05A04  ReadBM
  0x05A24  L1048
  0x05A30  L1049
  0x05A34  P156
  0x05A3E  L1050
  0x05A42  P157
  0x05A48  L1051
  0x05A58  L1052
  0x05A5C  P158
  0x05A76  L1053
  0x05A78  L1054
  0x05A7E  L1055
  0x05A82  P159
  0x05AA8  P_mDeallocFile
  0x05AAE  DeallocFile
  0x05ABE  L1056
  0x05ADA  L1057
  0x05AF0  L1058
  0x05AF6  L1059
  0x05B1E  L1060
  0x05B24  L1061
  0x05B30  L1062
  0x05B4A  L1063
  0x05B5E  L1064
  0x05B62  L1065
  0x05B6E  L1066
  0x05B7C  P_mExtendFile
  0x05B82  ExtendFile
  0x05B98  L1067
  0x05BC8  L1068
  0x05BEC  L1069
  0x05BF4  L1070
  0x05C1C  L1071
  0x05C26  L1072
  0x05C34  L1073
  0x05C3C  L1074
  0x05C4A  L1075
  0x05C58  L1076
  0x05C7E  L1077
  0x05CA8  L1078
  0x05CC2  L1079
  0x05CC8  L1080
  0x05CDE  FXMKeyCmp
  0x05D0A  L1081
  0x05D10  L1082
  0x05D14  L1083
  0x05D1C  MapFBlock
  0x05D4C  L1085
  0x05D88  L1086
  0x05D8A  L1087
  0x05D98  P_mTruncateFile
  0x05D9E  TruncateFile
  0x05DE0  L1088
  0x05E04  L1089
  0x05E24  L1090
  0x05E36  L1091
  0x05E5E  L1092
  0x05E66  L1093
  0x05E74  L1094
  0x05E76  L1095
  0x05E8C  L1096
  0x05E94  L1097
  0x05EA2  L1098
  0x05EB0  L1099
  0x05EB4  L1100
  0x05EB8  L1101
  0x05EC6  P163
  0x05ED0  P164
  0x05EF8  L1102
  0x05EFA  L1103
  0x05F04  XFSearch
  0x05F82  L1104
  0x05F8E  L1105
  0x05F9E  L1106
  0x05FA6  L1107
  0x05FB4  L1108
  0x05FCE  L1109
  0x05FD0  L1110
  0x05FDA  P166
  0x05FE0  L1111
  0x05FF4  L1112
  0x05FFA  L1113
  0x05FFE  L1114
  0x06000  L1115
  0x06006  P167
  0x06018  L1116
  0x06028  L1117
  0x06038  L1118
  0x0603A  L1119
  0x06044  CMCreateCN
  0x06078  L1120
  0x060A2  L1121
  0x060BE  L1122
  0x060D8  L1123
  0x060F2  L1124
  0x06144  L1125
  0x0617C  L1126
  0x0618A  CMDeleteCN
  0x061C4  L1127
  0x061CE  L1128
  0x061F6  L1129
  0x0622A  L1130
  0x06238  CMGetCN
  0x06258  CMGetOff
  0x06270  L1131
  0x06286  L1132
  0x0629C  L1133
  0x0629E  L1134
  0x062A4  L1135
  0x062AE  L1136
  0x062BC  CMMoveCN
  0x062E8  L1137
  0x06304  L1138
  0x06318  L1139
  0x06336  L1140
  0x0633E  L1141
  0x06358  L1142
  0x0638C  L1143
  0x063A4  L1144
  0x0641A  L1145
  0x06448  L1146
  0x06454  L1147
  0x06462  CMRenameCN
  0x064E6  L1148
  0x064F0  L1149
  0x064F4  L1150
  0x0650A  L1151
  0x06528  L1152
  0x06552  L1153
  0x0655E  L1154
  0x0656C  CMUpdateCN
  0x0658A  L1155
  0x06592  L1156
  0x065A0  P_CMSetUp
  0x065A6  CMSetUp
  0x065AE  P176
  0x065BA  L1157
  0x065BE  P177
  0x065D2  L1158
  0x065D6  L1159
  0x065D8  BuildKey
  0x06600  L1160
  0x06606  CMFlush
  0x0662E  L1161
  0x06630  L1162
  0x0663A  CMKeyCmp
  0x06666  L1163
  0x0666A  L1164
  0x0666E  L1165
  0x06670  L1166
  0x06678  LocCNode
  0x06692  L1167
  0x06698  LocCRec
  0x066A6  L1168
  0x066BC  L1169
  0x066C2  UpdCName
  0x066D2  L1170
  0x066DC  P_mBTClose
  0x066E2  BTClose
  0x06712  L1171
  0x0671C  P_mBTDelete
  0x06722  BTDelete
  0x06740  L1172
  0x06758  L1173
  0x06764  L1174
  0x06784  L1175
  0x067A0  L1176
  0x067B2  L1177
  0x067BC  L1178
  0x067E4  L1179
  0x067FA  L1180
  0x0683C  L1181
  0x06852  L1182
  0x0685A  L1183
  0x06868  L1184
  0x068A2  L1185
  0x068A8  L1186
  0x068C2  P_mBTFlush
  0x068C8  BTFlush
  0x06900  L1187
  0x06910  L1188
  0x0691E  L1189
  0x06928  P_mBTGetRecord
  0x0692E  BTGetRecord
  0x0694A  L1190
  0x0694C  L1191
  0x06952  L1192
  0x06968  L1193
  0x0696E  L1194
  0x06982  L1195
  0x06984  L1196
  0x06992  L1197
  0x069A4  L1198
  0x069C0  P187
  0x069D2  L1199
  0x069D8  P188
  0x069EA  P_mBTInsert
  0x069F0  BTInsert
  0x06A0C  L1200
  0x06A1A  L1201
  0x06A5E  L1202
  0x06AA8  L1203
  0x06AC0  L1204
  0x06AE0  L1205
  0x06AF2  L1206
  0x06AF6  L1207
  0x06B02  L1208
  0x06B28  L1209
  0x06B2C  L1210
  0x06B3A  L1211
  0x06B8E  L1212
  0x06BA8  L1213
  0x06BD4  L1214
  0x06C54  L1215
  0x06C5A  L1216
  0x06C80  L1217
  0x06C8A  P_mBTOpen
  0x06C90  BTOpen
  0x06D16  L1218
  0x06D1A  L1219
  0x06D26  L1220
  0x06D2E  L1221
  0x06D3E  L1222
  0x06D40  L1223
  0x06D4A  P_mBTSearch
  0x06D50  BTSearch
  0x06D84  L1224
  0x06D8E  L1225
  0x06D9E  L1226
  0x06DB6  L1227
  0x06DC8  L1228
  0x06DD6  P_mBTUpdate
  0x06DDC  BTUpdate
  0x06DF8  L1229
  0x06E02  P193
  0x06E10  P194
  0x06E2E  P195
  0x06E38  P_mAllocNode
  0x06E3E  AllocNode
  0x06E48  L1230
  0x06E58  L1231
  0x06E60  L1232
  0x06E76  L1233
  0x06E7A  L1234
  0x06E82  L1235
  0x06EAE  L1236
  0x06EC4  L1237
  0x06ECE  P_mExtBTFile
  0x06ED4  ExtBTFile
  0x06F00  L1238
  0x06F1E  L1239
  0x06F36  L1240
  0x06F56  L1241
  0x06F94  L1242
  0x06F9A  L1243
  0x06FAA  L1244
  0x06FB4  P_mFreeNode
  0x06FBA  FreeNode
  0x06FC4  L1245
  0x06FFC  L1246
  0x07006  P199
  0x0701E  L1247
  0x07034  L1248
  0x0704C  L1249
  0x07052  P200
  0x0706C  RotateLT
  0x07096  L1250
  0x0709E  L1251
  0x070AA  L1252
  0x070B0  L1253
  0x070CA  L1254
  0x070D6  L1255
  0x070DE  L1256
  0x070E8  L1257
  0x07100  L1258
  0x07104  L1259
  0x0711E  L1260
  0x07128  L1261
  0x07130  L1262
  0x0714A  L1263
  0x0714E  L1264
  0x07154  L1265
  0x0715C  SplitLT
  0x0718E  L1266
  0x071C8  L1267
  0x071D6  L1268
  0x071DA  L1269
  0x071E4  TreeSearch
  0x07202  L1270
  0x07208  L1271
  0x07236  L1272
  0x07258  L1273
  0x07262  L1274
  0x0726C  P204
  0x07290  L1275
  0x07298  L1276
  0x072A0  BuildIRec
  0x072C2  ChkNode
  0x07322  L1277
  0x07340  L1278
  0x07344  L1279
  0x07346  L1280
  0x0734E  ClrNode
  0x0735E  L1281
  0x0736A  DeleteRec
  0x073BA  GetLTSib
  0x073C4  GetRTSib
  0x073CC  L1282
  0x073D6  L1283
  0x073D8  L1284
  0x073DE  L1285
  0x073EA  L1286
  0x073EC  L1287
  0x073F6  GetMaxKey
  0x07402  P_mGetNode
  0x07408  GetNode
  0x07432  L1288
  0x0743C  GetNodeSiz
  0x07454  GetOffset
  0x0745C  P215
  0x0746E  GetRecA
  0x0748A  InitNode
  0x074B2  L1289
  0x074BC  InsertRec
  0x074F0  L1290
  0x07526  L1291
  0x0752E  LocBTCB
  0x07538  LocRec
  0x0756A  LocTPR
  0x0757A  MovOffLT
  0x0757E  L1292
  0x0758A  MovOffRT
  0x07590  L1293
  0x0759A  L1294
  0x075A0  MovRecLT
  0x075AA  L1295
  0x075B0  L1296
  0x075B6  MovRecRT
  0x075C4  L1297
  0x075CA  L1298
  0x075D0  P_mRelNode
  0x075D6  RelNode
  0x075E2  L1299
  0x075EA  SearchNode
  0x07602  L1300
  0x0762C  L1301
  0x07630  L1302
  0x07638  L1303
  0x0763C  L1304
  0x07646  UpdDRec
  0x0765C  L1305
  0x0765E  L1306
  0x07662  L1307
  0x07668  UpdIKey
  0x07682  L1308
  0x07684  L1309
  0x0768E  L1310
  0x07690  L1311
  0x07694  L1312
  0x078D4  L1339
  0x078F2  L1340
  0x07958  L1343
  0x07A30  L1351
  0x07A3C  L1352
  0x07A5C  P_mTrashVBlks
  0x07A62  TrashVBlks
  0x07A6A  L1355
  0x07A84  L1356
  0x07A8A  TrashFBlocks
  0x07A94  P_mTrashBlocks
  0x07AAA  L1357
  0x07AE2  L_TrashBlocks
  0x07AE8  TrashBlocks
  0x07AEE  L1359
  0x07B1E  L1360
  0x07B24  L1361
  0x07B56  P_mCacheWRIP
  0x07B5C  CacheWRIP
  0x07BB8  WriteOwnBuf
  0x07C30  L1368
  0x07C46  L1369
  0x07C48  L1370
  0x07C50  L1371
  0x07C58  L1372
  0x07C5A  E_199
  0x07C62  L1373
  0x07C86  E_200
  0x07CDA  P_mWrBlocks
  0x07CE0  WrBlocks
  0x07D8C  L1383
  0x07D9C  L1384
  0x07E58  DT22

# src/os/memory_mgr.s
  0x0FFA4  GetBackColor
  0x0FFAA  GetCCursor
  0x0FFB0  MaxBlock
  0x0FFBE  UserDelay
  0x0FFC4  L2361
  0x0FFD8  L2362
  0x0FFDC  L2363
  0x1000A  PurgeSpace
  0x10014  FreeMem
  0x1003C  AllocCursor
  0x10052  L2369
  0x1006C  L2370
  0x1009E  StackSpace
  0x100AE  MaxApplZone
  0x100D4  L2373
  0x100EE  L2376
  0x10104  L2378
  0x10108  GetPtrSize
  0x1011C  PtrZone
  0x10158  L2381
  0x1016C  L2386
  0x1018C  L2389
  0x101A2  L2390
  0x1021E  L2397
  0x1022A  L2398
  0x10294  L2404
  0x1034A  L2411
  0x10358  L2412
  0x1038A  L2413
  0x1038E  L2414
  0x10390  L2415
  0x103EA  L2419
  0x1040E  L2422
  0x10416  P386
  0x10420  L2424
  0x1043E  L2425
  0x10454  P387
  0x10492  L2430
  0x104E6  L2434
  0x1053A  L2441
  0x1053E  L2442
  0x10602  TotEPurgeables
  0x1060C  L2454
  0x1062C  L2455
  0x1062E  L2456
  0x10632  L2457
  0x10636  L2458
  0x1063E  L2459
  0x10642  P400
  0x1065C  L2460
  0x10680  L2461
  0x1068C  L2462
  0x108B0  L2493
  0x10A24  L2510
  0x10A78  L2516
  0x10A84  L2517
  0x10B20  L2526
  0x10B30  L2527
  0x10B4E  L2532
  0x10C3A  L2544
  0x10C6C  StdGZ
  0x10C7E  L2547
  0x10CA8  L2548
  0x10CB0  L2549
  0x10CB4  L2550
  0x10CFE  E_548
  0x10DE2  E_567
  0x10DE6  E_569
  0x10DEA  E_571
  0x10DEC  E_572
  0x10DEE  E_573
  0x10DF2  E_575
  0x10DF6  E_577
  0x10DFA  E_579
  0x10DFE  E_581
  0x10E14  L2578
  0x10E16  L2579
  0x10E18  L2580
  0x10E1A  L2581
  0x10E2A  L2587
  0x10E2C  L2588
  0x10E2E  L2589
  0x10E30  L2590
  0x10EC0  E_589
  0x10ECC  E_595

# src/os/sys_error.s
  0x02A24  L431
  0x02A6C  FInitQueue
  0x02A80  L435
  0x02A86  DSHook
  0x02AB6  L437
  0x02B2C  L438
  0x02B34  L439
  0x02B42  L440
  0x02B52  L441
  0x02B54  L442
  0x02B5A  L443
  0x02B5E  L444
  0x02B9E  L445
  0x02BA6  L446
  0x02BBA  L447
  0x02BDC  L448
  0x02BE4  L449
  0x02BE8  L450
  0x02BFE  L451
  0x02C08  L452
  0x02C1C  vDoEject
  0x02C40  L453
  0x02C4A  L454
  0x02C50  DivUp
  0x02C60  L455
  0x02C62  L456
  0x02C64  RoundAlloc
  0x02CE4  L464
  0x02CF4  P64
  0x02D16  L468
  0x02D1E  MarkVCB
  0x02D20  MarkVCBTime
  0x02D28  P67
  0x02D2E  FlushMDB
  0x02DDC  L469
  0x02DE6  MakeStkPB
  0x02DEA  L470

# src/os/trap_dispatch.s
  0x01F4A  ATrap68020
  0x01FBA  SetTrapAddress
  0x01FD6  L315
  0x01FE0  L316
  0x02030  DT_mFSIODNETbl
  0x02036  Fetch
  0x0203A  L321
  0x0205A  L322
  0x0205E  L323
  0x0206E  L324
  0x02076  L325
  0x0207A  Stash
  0x02080  L326
  0x02186  L338
  0x0219C  L340
  0x021CA  L342
  0x021EE  L344

# src/resources/resources.s
  0x176F2  L3643
  0x17870  E_939
  0x17874  E_940
  0x17878  E_941
  0x1787C  E_942
  0x17880  E_943
  0x17884  L3644
  0x17900  L3645
  0x17932  L3646
  0x1793C  L3647
  0x1795A  L3648
  0x1795C  P702
  0x1795E  P703
  0x1797A  P704
  0x179AA  L3649
  0x179F0  L3651
  0x179F4  E_Sound_Close
  0x17A12  P707
  0x17A22  L3653
  0x17A7A  E_Sound_Control
  0x17A8E  E_Sound_Status
  0x17A92  L3655
  0x17A9A  E_Sound_Prime
  0x17AB0  L3958
  0x17ACE  L3656
  0x17AEA  L3657
  0x17B02  L3658
  0x17B06  P711
  0x17B08  P712
  0x17B28  L3659
  0x17B2A  SoundVBL_taskSquareWave
  0x17B48  L3660
  0x17B50  L3959
  0x17B58  L3661
  0x17B64  L3662
  0x17B6C  L3663
  0x17B70  L3960
  0x17B76  SoundVBL_task4Tone
  0x17BA4  L3961
  0x17BB0  L3962
  0x17C02  L3963
  0x17C32  L3964
  0x17C60  L3965
